INFO 2024-06-28 17:15:28,591 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-28 17:15:28,627 autoreload Waiting for apps ready_event.
DEBUG 2024-06-28 17:15:28,855 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-28 17:15:28,885 autoreload Watching dir C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-06-28 17:15:28,885 autoreload Watching dir C:\Users\Asim\final2\pythonProject\createads\locale with glob **/*.mo.
DEBUG 2024-06-28 17:15:28,885 autoreload Watching dir C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-06-28 17:15:28,885 autoreload Watching dir C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2024-06-28 17:15:28,885 autoreload Watching dir C:\Users\Asim\final2\pythonProject\createads\create\locale with glob **/*.mo.
DEBUG 2024-06-28 17:15:28,893 autoreload Watching dir C:\Users\Asim\final2\pythonProject\createads\login\locale with glob **/*.mo.
DEBUG 2024-06-28 17:15:28,968 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-06-28 17:15:28,968 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1719485747.656668
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\__init__.py first seen with mtime 1719485748.2254462
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Program Files\Python312\Lib\asyncio\runners.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\core\mail\message.py first seen with mtime 1719485750.5711894
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Program Files\Python312\Lib\sqlite3\dbapi2.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Program Files\Python312\Lib\importlib\metadata\_functools.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\test\client.py first seen with mtime 1719485750.7447784
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1719485750.618115
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1719485749.161857
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Program Files\Python312\Lib\re\__init__.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1719485750.6656387
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\apps\registry.py first seen with mtime 1719485748.2254462
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\contrib\postgres\search.py first seen with mtime 1719485749.9864511
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\contrib\sessions\backends\__init__.py first seen with mtime 1719485750.238904
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1719485750.5561817
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1719485750.5561817
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Program Files\Python312\Lib\email\_policybase.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,058 autoreload File C:\Program Files\Python312\Lib\subprocess.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\_virtualenv.py first seen with mtime 1719485709.2067566
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1719485750.7447784
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\createads\createads\urls.py first seen with mtime 1719495787.401438
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1719485750.6340268
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1719485750.7441769
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\test\utils.py first seen with mtime 1719485750.7447784
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1719485748.528208
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\rest_framework_simplejwt\__init__.py first seen with mtime 1719485970.7238579
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Program Files\Python312\Lib\email\errors.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Program Files\Python312\Lib\email\charset.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1719485750.5561817
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Program Files\Python312\DLLs\_overlapped.pyd first seen with mtime 1712653562.0
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1719485750.6499534
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\core\checks\database.py first seen with mtime 1719485750.551848
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Program Files\Python312\Lib\ipaddress.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\views\defaults.py first seen with mtime 1719485750.7759194
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Program Files\Python312\Lib\mimetypes.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\rest_framework\authentication.py first seen with mtime 1719485805.2771513
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Program Files\Python312\Lib\urllib\parse.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Program Files\Python312\Lib\multiprocessing\reduction.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Program Files\Python312\Lib\asyncio\timeouts.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\rest_framework\utils\urls.py first seen with mtime 1719485805.4518645
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\core\signals.py first seen with mtime 1719485750.5397646
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1719485750.6499534
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\middleware\security.py first seen with mtime 1719485750.7285457
DEBUG 2024-06-28 17:15:29,066 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1719485750.7447784
DEBUG 2024-06-28 17:15:29,074 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1719485750.5868275
DEBUG 2024-06-28 17:15:29,074 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1719485748.9781282
DEBUG 2024-06-28 17:15:29,074 autoreload File C:\Users\Asim\final2\pythonProject\createads\login\views.py first seen with mtime 1719574118.88036
DEBUG 2024-06-28 17:15:29,074 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1719485747.656668
DEBUG 2024-06-28 17:15:29,074 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1719485750.7602837
DEBUG 2024-06-28 17:15:29,074 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\core\files\temp.py first seen with mtime 1719485750.5561817
DEBUG 2024-06-28 17:15:29,074 autoreload File C:\Program Files\Python312\Lib\asyncio\mixins.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,074 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1719485750.7759194
DEBUG 2024-06-28 17:15:29,074 autoreload File C:\Users\Asim\final2\pythonProject\createads\createads\settings.py first seen with mtime 1719574160.5689533
DEBUG 2024-06-28 17:15:29,074 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1719485747.656668
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Program Files\Python312\Lib\shutil.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\core\paginator.py first seen with mtime 1719485750.5397646
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Program Files\Python312\Lib\locale.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\db\utils.py first seen with mtime 1719485750.5868275
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1719485750.7759194
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Program Files\Python312\Lib\unittest\runner.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\rest_framework\schemas\generators.py first seen with mtime 1719485805.3723059
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\rest_framework_simplejwt\models.py first seen with mtime 1719485970.7238579
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1719485749.3359425
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\sqlparse\utils.py first seen with mtime 1719485747.656668
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\rest_framework\renderers.py first seen with mtime 1719485805.2931979
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1719485750.6031954
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\rest_framework\authtoken\models.py first seen with mtime 1719485805.308834
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Program Files\Python312\Lib\asyncio\log.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\template\context.py first seen with mtime 1719485750.7285457
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1719485750.6499534
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1719485747.656668
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\core\wsgi.py first seen with mtime 1719485750.5464926
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\utils\timesince.py first seen with mtime 1719485750.7759194
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\template\utils.py first seen with mtime 1719485750.7285457
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Program Files\Python312\Lib\asyncio\format_helpers.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Program Files\Python312\Lib\pathlib.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1719485750.6499534
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Program Files\Python312\Lib\bz2.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,083 autoreload File C:\Program Files\Python312\Lib\re\_casefix.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1719485750.238904
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Program Files\Python312\Lib\zipfile\__init__.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1719485749.3359425
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\rest_framework_simplejwt\settings.py first seen with mtime 1719485970.7238579
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Program Files\Python312\Lib\types.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Program Files\Python312\Lib\functools.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1719485748.528208
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Program Files\Python312\Lib\unittest\case.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1719485748.528208
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\template\exceptions.py first seen with mtime 1719485750.7285457
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1719485747.6410322
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\template\base.py first seen with mtime 1719485750.7285457
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Program Files\Python312\Lib\asyncio\sslproto.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Program Files\Python312\Lib\dis.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Program Files\Python312\Lib\dataclasses.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\db\models\constants.py first seen with mtime 1719485750.6340268
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1719485750.6340268
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\forms\__init__.py first seen with mtime 1719485750.6656387
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1719485747.656668
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Program Files\Python312\Lib\json\__init__.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\test\__init__.py first seen with mtime 1719485750.7447784
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\rest_framework\relations.py first seen with mtime 1719485805.2931979
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1719485748.528208
DEBUG 2024-06-28 17:15:29,091 autoreload File C:\Program Files\Python312\DLLs\_decimal.pyd first seen with mtime 1712653562.0
